bookID,title,authors,average_rating,isbn,isbn13,language_code,ratings_count,text_reviews_count,year,month,publisher,is_part_of_series,is_box_set,book_length
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,0439785960,9780439785969,eng,2095690,27591,2006,9,Scholastic Inc.,True,False,Medium
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,0439358078,9780439358071,eng,2153167,29221,2004,9,Scholastic Inc.,True,False,Long
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,0439554896,9780439554893,eng,6333,244,2003,11,Scholastic Inc.,True,False,Medium
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9780439655484,eng,2339585,36325,2004,5,Scholastic Inc.,True,False,Medium
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,0439682584,9780439682589,eng,41428,164,2004,9,Scholastic Inc.,False,True,Long
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,0976540606,9780976540601,eng,19,1,2005,4,Nimble Books,False,False,Short
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,9780439827607,eng,28242,808,2005,9,Scholastic Inc.,False,True,Long
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,9780517226957,eng,3628,254,2005,11,Gramercy Books,False,True,Long
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0345453743,9780345453747,eng,249558,4080,2002,4,Del Rey Books,False,True,Long
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,4930,460,2004,8,Crown,True,False,Short
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,0739322206,9780739322208,eng,1266,253,2005,3,Random House Audio,True,False,Short
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517149257,9780517149256,eng,2877,195,1996,1,Wings Books,False,True,Long
21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184,eng,248558,9396,2004,9,Broadway Books,False,False,Medium
22,Bill Bryson's African Diary,Bill Bryson,3.44,0767915062,9780767915069,eng,7270,499,2002,12,Broadway Books,False,False,Short
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,0767910435,9780767910439,eng,2088,131,2004,9,Broadway Books,False,False,Short
24,In a Sunburned Country,Bill Bryson,4.07,0767903862,9780767903868,eng,72451,4245,2001,5,Broadway Books,False,False,Medium
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780767903820,eng,49240,2211,2000,6,Broadway Books,False,False,Medium
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,9780060920081,eng,45712,2257,1990,8,William Morrow Paperbacks,False,False,Short
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,0380713802,9780380713806,eng,48701,2238,1993,3,William Morrow Paperbacks,False,False,Short
28,Notes from a Small Island,Bill Bryson,3.91,0380727501,9780380727506,eng,80609,3301,1997,5,William Morrow Paperbacks,False,False,Medium
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,0380715430,9780380715435,eng,28489,2085,1991,9,William Morrow Paperbacks,False,False,Short
